Adv2,ENEMIES,107,18,,,,,
18,0,0,20,KUBINAGA,1,0,0,0
7,2,1,26,GOHLA,-4,1,12,2
5,3,12,28,GOHLA,-6,1,14,3
17,3,23,20,KURAKURA,0,0,0,0
17,3,23,27,KURAKURA,0,0,0,0
8,4,31,9,KURAKURA,0,0,0,0
13,5,6,25,KURAKURA,0,0,0,0
22,6,6,12,KUBINAGA,0,0,0,0
23,6,26,12,KOURA,-6,2,12,0
15,7,22,26,KOURA,0,1,8,3
35,7,7,19,KOURA,-6,2,12,0
46,7,4,31,KUBINAGA,1,0,0,0
28,8,5,25,KURAKURA,0,0,0,0
44,8,11,14,KUBINAGA,0,0,0,0
67,8,22,28,KURAKURA,0,0,0,0
16,9,11,10,KOURA,-3,1,11,2
18,9,18,27,KOURA,-5,1,9,3
22,9,20,6,KURAKURA,0,0,0,0
27,9,27,1,KURAKURA,0,0,0,0
56,9,9,23,KURAKURA,0,0,0,0
72,9,30,4,KUBINAGA,1,1,0,0
35,10,14,26,GOHLA,-7,1,16,2
43,10,4,14,KOURA,-7,1,15,3
45,10,31,30,KOURA,0,2,2,7
46,10,20,14,GOHLA,-5,1,11,2
48,11,8,12,GOHLA,-3,1,9,2
77,11,3,18,GOHLA,-5,1,12,2
72,12,27,6,KUBINAGA,0,0,0,0
87,12,0,21,KOURA,0,2,2,8
80,14,21,18,GOHLA,-8,1,16,3
90,16,0,28,KUBINAGA,0,0,0,0
