Adv2,ENEMIES,84,12,,,,,
47,0,20,30,FLICKEY,-6,0,12,0
45,1,0,6,KYURA,-2,0,4,0
35,2,8,26,KYURA,-2,0,4,0
14,4,9,11,KYURA,-2,0,4,0
20,4,20,15,KYURA,-2,0,4,0
24,4,31,4,STAR,0,0,0,0
25,4,4,7,STAR,0,0,0,0
18,5,12,8,KYURA,-6,0,12,0
48,5,5,25,KYURA,0,0,0,0
29,6,0,30,STAR,0,0,0,0
8,7,20,13,KYURA,-6,0,12,0
12,7,6,16,FLICKEY,-3,0,6,0
23,7,12,17,STAR,0,0,0,0
23,7,24,17,STAR,0,0,0,0
24,7,3,17,STAR,0,0,0,0
30,7,30,28,STAR,0,0,0,0
53,7,20,28,KYURA,-3,0,6,0
8,8,13,13,KYURA,-2,0,4,0
9,9,19,17,STAR,0,0,0,0
16,9,4,18,FLICKEY,-3,0,6,0
56,9,11,5,STAR,0,0,0,0
12,10,30,7,KYURA,-6,0,12,0
51,10,21,16,FLICKEY,-3,0,6,0
52,10,20,16,FLICKEY,-3,0,6,0
