Adv2,ENEMIES,80,19,,,,,
59,5,20,8,MADILLO,-6,1,6,0
58,7,18,24,BULLETBUZZER,-6,0,12,0
32,9,1,3,STRAW,0,0,0,0
32,9,3,4,STRAW,0,0,0,0
32,9,3,2,STRAW,0,0,0,0
30,11,12,8,MADILLO,-12,1,12,0
36,11,0,13,BULLETBUZZER,-5,0,10,0
12,12,22,10,BULLETBUZZER,-4,0,8,0
21,12,20,30,STRAW,0,0,0,0
21,12,18,31,STRAW,0,0,0,0
26,12,14,22,STRAW,0,0,0,0
26,12,14,20,STRAW,0,0,0,0
26,12,12,21,STRAW,0,0,0,0
5,13,20,22,MADILLO,-5,1,5,0
21,13,20,0,STRAW,0,0,0,0
24,13,24,4,MADILLO,-8,1,8,0
8,14,26,24,BULLETBUZZER,-6,0,12,0
16,14,15,5,BULLETBUZZER,-6,0,12,0
