Adv2,INTERACTABLES,80,19,,,,,
40,0,9,24,TOGGLE__CHECKPOINT,0,0,0,0
40,0,9,0,TOGGLE__CHECKPOINT,0,0,0,0
40,1,9,16,TOGGLE__CHECKPOINT,0,0,0,0
63,1,30,30,PROPELLER_SPRING,0,0,0,0
64,1,14,23,PROPELLER_SPRING,0,0,0,0
64,1,6,16,PROPELLER_SPRING,0,0,0,0
64,1,15,9,PROPELLER_SPRING,0,0,0,0
64,1,28,1,SPECIAL_RING,0,0,0,0
65,1,16,16,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,4,13
65,1,20,16,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,24,4
66,1,12,16,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,24,4
67,1,4,16,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,24,4
40,2,9,8,TOGGLE__CHECKPOINT,0,0,0,0
57,2,27,19,SPECIAL_RING,0,0,0,0
57,2,24,9,GRIND_RAIL__START_GROUND,-6,-3,12,3
58,2,28,20,GRIND_RAIL__END_ALTERNATE,-6,-3,12,3
59,2,5,20,RAMP,1,0,0,0
62,2,14,20,SMALL_WINDMILL,1,0,0,0
63,2,21,30,PROPELLER_SPRING,0,0,0,0
63,2,26,15,PROPELLER_SPRING,0,0,0,0
63,2,20,5,PROPELLER_SPRING,0,0,0,0
64,2,14,27,PROPELLER_SPRING,0,0,0,0
64,2,3,23,PROPELLER_SPRING,0,0,0,0
64,2,17,12,PROPELLER_SPRING,0,0,0,0
64,2,21,0,PROPELLER_SPRING,0,0,0,0
64,2,10,4,PROPELLER_SPRING,0,0,0,0
67,2,28,18,SPRING__LEFT,2,0,0,0
67,2,19,8,TOGGLE_PLAYER_LAYER__FOREGROUND,0,0,4,13
40,3,9,0,TOGGLE__CHECKPOINT,0,0,0,0
40,3,9,24,TOGGLE__CHECKPOINT,0,0,0,0
56,3,26,24,SMALL_WINDMILL,1,0,0,0
56,3,2,0,SMALL_WINDMILL,2,0,0,0
59,3,26,12,BOOSTER,0,0,0,0
60,3,0,12,GRIND_RAIL__START_GROUND,-12,-3,24,3
62,3,30,24,SPRING__UP,0,0,0,0
62,3,8,24,GRIND_RAIL__END_ALTERNATE,-12,-3,24,3
63,3,20,14,PROPELLER_SPRING,0,0,0,0
64,3,2,8,PROPELLER_SPRING,0,0,0,0
64,3,16,13,PROPELLER_SPRING,0,0,0,0
65,3,20,10,SPRING__RIGHT,2,0,0,0
65,3,25,0,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,4,13
68,3,11,24,TOGGLE__GOAL,0,0,0,0
40,4,9,16,TOGGLE__CHECKPOINT,0,0,0,0
53,4,28,24,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,4,17
53,4,14,22,SMALL_WINDMILL,1,0,0,0
54,4,0,24,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,24,4
54,4,24,24,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,4,17
56,4,8,28,FAN__RIGHT,0,-12,24,12
59,4,18,4,SPRING__UP,1,0,0,0
60,4,30,22,SMALL_WINDMILL,2,0,0,0
60,4,12,10,BOOSTER,0,1,0,0
61,4,28,22,FAN__LEFT,-12,-24,12,24
68,4,9,3,GOAL_LEVER,0,0,0,0
40,5,9,8,TOGGLE__CHECKPOINT,0,0,0,0
42,5,0,20,GRIND_RAIL__START_AIR,-12,-3,24,3
45,5,24,20,GRIND_RAIL__START_AIR,-12,-3,24,3
46,5,4,8,GRIND_RAIL__START_AIR,-12,-3,24,3
49,5,16,26,GRIND_RAIL__END_AIR,-12,-3,24,3
49,5,28,18,SPECIAL_RING,0,0,0,0
50,5,20,2,WHIRLWIND__A,-6,-18,12,36
51,5,2,26,FLYING_HANDLE,0,-9,0,9
53,5,4,20,TOGGLE_PLAYER_LAYER__FOREGROUND,0,0,4,18
53,5,0,20,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,4,18
53,5,20,13,TOGGLE_PLAYER_LAYER__FOREGROUND,0,0,4,4
53,5,16,13,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,4,4
53,5,8,6,SPRING__RIGHT,2,0,0,0
55,5,4,20,TOGGLE_PLAYER_LAYER__FOREGROUND,0,0,4,25
55,5,8,20,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,4,25
57,5,24,28,SPRING__BIG_UPRIGHT,1,0,0,0
60,5,12,10,SPRING__BIG_UPRIGHT,1,0,0,0
37,6,0,8,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,4,4
