Adv2,ENEMIES,45,6,,,,,
19,0,23,21,KIKI,0,0,2,8
28,0,17,19,BUZZER,-6,0,13,2
15,1,3,1,BUZZER,-5,0,11,2
25,1,27,1,BUZZER,-5,0,15,2
32,1,20,22,BUZZER,-4,0,16,2
32,1,29,29,BUZZER,-7,0,10,2
2,2,3,7,KIKI,0,0,2,5
4,2,1,6,BUZZER,-9,0,18,2
10,2,23,24,BUZZER,-4,0,16,2
11,2,12,16,BUZZER,-7,0,19,2
13,2,7,16,BUZZER,-9,0,24,2
26,2,12,30,BUZZER,-7,0,13,2
27,2,25,30,KEROKERO,-12,0,22,0
30,2,7,1,KIKI,0,-4,2,7
32,2,14,27,BUZZER,-9,0,16,2
41,2,6,17,BOSS_1_INTRO,-38,-81,0,0
42,2,27,30,EGG_HAMMER_TANK,-91,-94,0,0
12,3,12,1,KEROKERO,-12,0,25,2
14,3,27,23,KIKI,0,-2,2,8
20,3,31,13,GAMIGAMI,-9,0,18,2
23,3,18,4,BUZZER,-2,0,15,2
24,3,29,23,GAMIGAMI,-11,0,22,0
9,4,7,7,KIKI,0,-3,2,8
11,4,12,7,RHINOTANK,-13,0,25,2
16,4,31,13,BUZZER,-8,0,20,2
