Adv2,ENEMIES,51,6,,,,,
9,0,30,31,BUZZER,-7,0,17,2
18,0,20,1,BUZZER,-7,0,16,2
19,0,17,4,BUZZER,-6,0,14,2
19,0,29,16,BUZZER,-7,0,16,2
20,0,6,26,BUZZER,-6,0,15,2
28,0,6,26,BUZZER,-5,0,11,2
5,1,21,5,GAMIGAMI,-7,0,15,2
7,1,1,7,BUZZER,-6,0,14,2
8,1,23,20,GAMIGAMI,-6,0,17,2
13,1,5,11,BUZZER,-3,0,11,2
27,1,0,24,RHINOTANK,-10,0,17,2
35,2,17,27,BUZZER,-5,0,14,2
38,2,6,17,RHINOTANK,-12,0,23,2
40,2,15,29,BUZZER,-5,0,13,2
26,3,29,13,KIKI,0,0,2,5
30,3,9,0,KIKI,0,0,2,4
38,3,7,30,KEROKERO,-11,0,22,2
19,4,1,17,KIKI,0,0,2,7
21,4,9,17,KIKI,0,0,2,7
27,4,11,25,RHINOTANK,-8,0,20,2
29,4,24,2,KEROKERO,-9,0,19,2
30,4,26,29,KEROKERO,-9,0,18,2
34,4,10,28,KEROKERO,-9,0,19,2
39,4,29,13,GAMIGAMI,-14,0,25,2
34,5,29,2,KEROKERO,-8,0,18,2
35,5,19,5,KEROKERO,-10,0,20,2
38,5,17,2,KEROKERO,-9,0,18,2
