Adv2,INTERACTABLES,51,6,,,,,
27,0,22,31,GRIND_RAIL__START,0,0,4,2
47,0,19,0,STAGE_GOAL,0,1,0,0
47,0,19,13,STAGE_GOAL,0,1,0,0
5,1,31,25,SPIKES__NORMAL_UP,65,-57,0,0
8,1,13,23,DECORATION,-13,-55,0,0
9,1,12,7,SPRING__SMALL_UPLEFT,0,-39,0,0
9,1,31,9,TOGGLE_PLAYER_LAYER__BACK,0,0,3,4
9,1,22,10,TOGGLE_PLAYER_LAYER__BACK,0,0,6,3
9,1,22,13,TOGGLE_PLAYER_LAYER__BACK,0,0,3,15
9,1,25,15,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,12
10,1,2,9,TOGGLE_PLAYER_LAYER__BACK,0,0,16,3
10,1,17,9,TOGGLE_PLAYER_LAYER__BACK,0,0,3,5
10,1,18,14,SPRING__UP,0,115,1,1
11,1,24,1,SPIKES__NORMAL_UP,-120,-33,0,0
11,1,3,4,TOGGLE_PLAYER_LAYER__BACK,0,0,5,2
11,1,3,6,TOGGLE_PLAYER_LAYER__BACK,0,0,2,17
11,1,5,6,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,19
11,1,17,6,TOGGLE_PLAYER_LAYER__BACK,0,0,3,3
11,1,20,6,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,3
12,1,12,10,PLATFORM_THIN__FALLING,116,-42,0,0
12,1,19,28,TOGGLE_PLAYER_LAYER__BACK,0,0,5,2
12,1,19,30,TOGGLE_PLAYER_LAYER__BACK,0,0,2,18
12,1,21,30,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,19
13,1,16,29,SPRING__BIG_UPRIGHT,0,-61,0,0
13,1,1,30,TOGGLE_PLAYER_LAYER__BACK,0,0,3,3
13,1,4,30,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,3
20,1,28,30,SPRING__SMALL_UPRIGHT,2,-62,0,0
27,1,12,16,WALL_POLE__RIGHT,-108,-48,0,0
27,1,27,16,PLATFORM_THIN__FALLING,-123,-48,0,0
28,1,23,30,GRIND_RAIL__END,0,0,8,4
42,1,20,29,SPECIAL_SPRING,-84,-61,0,0
47,1,19,0,STAGE_GOAL,0,1,0,0
47,1,19,15,STAGE_GOAL,0,1,0,0
14,2,18,27,GRIND_RAIL__START,0,0,3,2
19,2,16,11,SPIKES__NORMAL_LEFT,-112,-75,0,0
19,2,16,15,SPIKES__NORMAL_LEFT,-112,-79,0,0
19,2,16,19,SPIKES__NORMAL_LEFT,-112,-83,0,0
19,2,16,23,SPIKES__NORMAL_LEFT,-112,-87,0,0
26,2,30,19,PLATFORM_THIN,0,-6,2,8
26,2,1,20,TRAMPOLINE,-65,-84,0,0
26,2,14,21,PLATFORM_THIN__FALLING,-78,-85,0,0
27,2,21,27,DECORATION,-117,-91,0,0
28,2,10,8,TOGGLE_PLAYER_LAYER__BACK,0,0,6,2
28,2,1,9,PLATFORM_THIN,0,0,2,11
28,2,10,10,TOGGLE_PLAYER_LAYER__BACK,0,0,3,23
28,2,13,10,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,23
28,2,25,10,TOGGLE_PLAYER_LAYER__BACK,0,0,3,3
28,2,28,10,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,3
