Adv2,ITEMS,30,11,
8,0,6,18,SPEED_UP
13,0,13,18,SHIELD_MAGNETIC
13,1,21,28,SHIELD
16,1,16,4,RINGS_5
18,1,6,4,INVINCIBILITY
19,1,25,16,SHIELD
23,1,21,28,RINGS_RANDOM
6,2,17,2,RINGS_RANDOM
9,2,21,14,SHIELD
13,2,1,8,RINGS_5
17,2,2,26,RINGS_RANDOM
14,3,28,12,INVINCIBILITY
21,4,2,22,ONE_UP
22,4,26,10,RINGS_RANDOM
1,5,27,2,SHIELD
11,5,28,20,INVINCIBILITY
19,5,19,20,SPEED_UP
20,5,26,12,RINGS_RANDOM
22,5,31,13,SHIELD_MAGNETIC
8,7,4,28,SPEED_UP
17,7,26,10,SHIELD
12,8,30,2,RINGS_RANDOM
13,8,1,2,RINGS_RANDOM
13,8,31,20,RINGS_10
15,8,21,20,RINGS_10
21,8,8,26,RINGS_RANDOM
20,9,18,18,SHIELD_MAGNETIC
