Adv2,ENEMIES,99,19,,,,,
10,2,24,8,CIRCUS,0,0,1,1
12,3,10,12,BELL,0,0,0,0
12,3,17,30,YADO,0,0,0,0
13,3,19,24,BELL,0,0,0,0
13,3,31,10,PIKOPIKO,-9,1,18,3
23,7,11,10,BELL,0,0,0,0
36,7,19,16,YADO,0,0,0,0
24,8,3,26,YADO,0,0,0,0
41,8,22,24,PIKOPIKO,-5,1,14,3
43,8,18,12,PIKOPIKO,-7,1,14,2
43,9,0,12,YADO,0,0,0,0
36,10,6,28,YADO,0,0,0,0
44,10,5,8,PIKOPIKO,-6,1,12,3
49,10,25,28,BELL,0,0,0,0
64,10,7,22,BELL,0,0,0,0
49,11,13,26,YADO,0,0,0,0
61,11,20,15,BELL,0,0,0,0
58,12,21,6,YADO,0,0,0,0
68,13,20,16,BELL,0,0,0,0
65,14,15,2,CIRCUS,0,0,0,0
74,14,14,2,BELL,0,0,0,0
72,15,2,6,CIRCUS,0,0,0,0
75,15,19,0,CIRCUS,0,0,0,0
76,17,22,0,PIKOPIKO,-3,1,7,2
78,17,3,20,CIRCUS,0,0,0,0
64,18,14,23,BELL,0,0,0,0
