Adv2,ENEMIES,118,18,,,,,
12,0,12,26,KYURA,-2,0,4,0
23,0,1,29,STAR,0,0,0,0
22,1,23,1,STAR,0,0,0,0
7,2,11,20,KYURA,-2,0,4,0
20,2,15,27,STAR,0,0,0,0
38,2,31,3,KYURA,0,0,0,0
39,2,12,2,KYURA,0,0,0,0
49,3,28,27,STAR,0,0,0,0
6,4,6,4,FLICKEY,-2,0,4,0
6,4,8,20,STAR,0,0,0,0
9,4,29,8,STAR,0,0,0,0
14,4,25,6,KYURA,-3,0,6,0
12,5,30,27,STAR,0,0,0,0
43,5,28,20,KYURA,-3,0,6,0
54,5,22,10,STAR,0,0,0,0
74,5,14,23,STAR,0,0,0,0
12,6,19,0,STAR,0,0,0,0
35,6,28,13,STAR,0,0,0,0
50,6,15,12,KYURA,0,0,0,0
57,6,0,0,FLICKEY,-2,0,4,0
53,8,8,8,FLICKEY,-2,0,4,0
62,8,23,28,STAR,0,0,0,0
84,8,5,10,KYURA,-2,0,4,0
93,8,6,17,STAR,0,0,0,0
71,10,16,7,STAR,0,0,0,0
73,13,5,6,STAR,0,0,0,0
