Adv2,INTERACTABLES,118,18,,,,,
14,0,24,19,SPECIAL_RING,0,0,0,0
22,0,15,24,KEYBOARD_VERTICAL,1,-12,2,24
22,0,15,6,KEYBOARD_VERTICAL,1,-6,2,12
23,0,13,13,SPECIAL_RING,0,0,0,0
29,0,19,12,KEYBOARD_VERTICAL,-1,-12,2,24
29,0,19,30,KEYBOARD_VERTICAL,-1,-6,2,12
55,0,0,24,TOGGLE__CHECKPOINT,0,0,0,0
55,0,0,0,TOGGLE__CHECKPOINT,0,0,0,0
106,0,7,12,TOGGLE__GOAL,0,0,0,0
16,1,28,31,KEYBOARD_VERTICAL,-2,-15,2,30
22,1,15,16,KEYBOARD_VERTICAL,1,-12,2,24
22,1,28,31,TOGGLE_PLAYER_LAYER__FOREGROUND,0,0,12,4
22,1,26,23,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,16,4
27,1,24,28,SPRING__UP,1,0,0,0
28,1,28,22,GRIND_RAIL__START_AIR,-12,-3,24,3
28,1,28,4,GRIND_RAIL__START_AIR,-12,-3,24,3
31,1,16,28,GRIND_RAIL__END_AIR,-12,-3,24,3
55,1,0,16,TOGGLE__CHECKPOINT,0,0,0,0
106,1,7,28,TOGGLE__GOAL,0,0,0,0
106,1,7,4,TOGGLE__GOAL,0,0,0,0
9,2,27,27,LIGHT_BRIDGE,0,0,0,0
11,2,20,8,ARROW_PLATFORM__UP,0,-36,0,36
15,2,25,8,GRIND_RAIL__START_AIR,-21,-3,42,3
22,2,28,3,TOGGLE_PLAYER_LAYER__BACKGROUND,0,0,12,4
26,2,2,8,SPRING__BIG_DOWNLEFT,1,0,0,0
31,2,4,20,GRIND_RAIL__END_ALTERNATE,-12,-3,24,3
31,2,14,20,SPIKES__NORMAL_UP,0,0,0,0
35,2,24,10,NOTE_BLOCK__2,0,0,0,0
35,2,28,10,NOTE_BLOCK__2,0,0,0,0
35,2,28,12,NOTE_BLOCK__2,0,0,0,0
35,2,24,12,NOTE_BLOCK__2,0,0,0,0
36,2,0,10,NOTE_BLOCK__2,0,0,0,0
36,2,0,12,NOTE_BLOCK__2,0,0,0,0
37,2,13,8,RAMP,1,0,0,0
37,2,28,14,ARROW_PLATFORM__RIGHT,0,0,21,0
42,2,9,14,RAMP,1,0,0,0
48,2,10,26,SPIKES__NORMAL_UP,0,0,0,0
55,2,0,8,TOGGLE__CHECKPOINT,0,0,0,0
106,2,7,20,TOGGLE__GOAL,0,0,0,0
7,3,4,3,SPIKES__NORMAL_LEFT,0,0,0,0
7,3,4,7,SPIKES__NORMAL_LEFT,0,0,0,0
15,3,12,24,CEILING_SLOPE__A,0,0,6,13
15,3,10,6,SPIKES__HIDING_UP,0,0,0,0
16,3,8,0,SPRING__UP,1,0,0,0
19,3,4,24,GRIND_RAIL__END_ALTERNATE,-3,-3,6,3
19,3,14,24,SPRING__UP,0,0,0,0
19,3,26,6,SPIKES__NORMAL_UP,0,0,0,0
25,3,4,24,SPRING__BIG_DOWNRIGHT,1,0,0,0
25,3,7,0,BOOSTER,0,1,0,0
27,3,12,24,SPRING__BIG_UPLEFT,2,0,0,0
31,3,16,6,GRIND_RAIL__START_AIR,-12,-3,24,3
34,3,28,24,GRIND_RAIL__END_ALTERNATE,-12,-3,24,3
37,3,27,30,KEYBOARD_VERTICAL,1,-6,2,12
37,3,14,24,SPRING__UP,1,0,0,0
37,3,28,0,ARROW_PLATFORM__RIGHT,0,0,81,0
37,3,22,0,SPRING__UP,0,0,0,0
38,3,7,30,KEYBOARD_VERTICAL,-1,-6,2,12
39,3,0,24,SPIKES__NORMAL_UP,0,0,0,0
41,3,6,0,SPRING__UP,1,0,0,0
42,3,18,30,SPIKE_PLATFORM,0,0,0,0
43,3,28,18,GRIND_RAIL__START_AIR,-12,-3,24,3
46,3,18,0,PLATFORM_B,0,0,0,0
46,3,10,11,SPECIAL_RING,0,0,0,0
46,3,4,29,BOOSTER,5,0,0,0
55,3,0,24,TOGGLE__CHECKPOINT,0,0,0,0
55,3,0,0,TOGGLE__CHECKPOINT,0,0,0,0
106,3,7,12,TOGGLE__GOAL,0,0,0,0
5,4,30,28,SPIKES__NORMAL_UP,0,0,0,0
6,4,26,4,SPRING__UP,3,0,0,0
