Adv2,RINGS,118,18
12,1,11,31
12,1,16,31
12,1,6,31
13,1,6,2
13,1,10,1
13,1,14,0
24,1,4,23
24,1,8,23
24,1,12,23
25,1,26,26
25,1,16,26
25,1,21,26
32,1,15,23
32,1,19,23
32,1,11,23
33,1,14,31
7,2,27,26
7,2,19,26
7,2,23,26
11,2,0,26
11,2,4,27
11,2,8,28
15,2,10,27
15,2,14,27
15,2,18,27
16,2,25,16
16,2,22,13
16,2,28,19
24,2,11,25
24,2,16,25
24,2,21,25
33,2,19,0
33,2,24,1
38,2,27,29
38,2,21,29
38,2,3,11
38,2,9,11
38,2,15,11
39,2,1,29
39,2,7,29
41,2,27,8
41,2,31,8
41,2,23,8
46,2,30,20
46,2,26,20
47,2,2,20
5,3,16,31
5,3,21,31
5,3,26,31
15,3,30,27
16,3,8,27
16,3,3,27
18,3,14,18
18,3,18,20
18,3,22,22
21,3,29,28
22,3,0,31
32,3,1,7
32,3,5,9
32,3,9,11
34,3,1,27
34,3,5,26
34,3,9,25
35,3,29,23
35,3,25,23
36,3,1,23
36,3,22,16
36,3,18,16
36,3,26,16
38,3,23,17
38,3,19,17
38,3,15,17
41,3,1,22
41,3,6,22
41,3,11,22
42,3,23,16
42,3,26,16
42,3,29,16
44,3,10,18
44,3,14,20
44,3,18,22
49,3,8,30
49,3,12,30
49,3,16,30
52,3,9,20
52,3,14,20
52,3,19,20
52,3,24,20
52,3,9,23
52,3,14,23
52,3,19,23
52,3,24,23
10,4,25,18
10,4,31,20
11,4,5,22
12,4,3,21
12,4,7,21
12,4,11,21
16,4,23,2
16,4,27,2
16,4,31,2
17,4,13,13
17,4,17,14
17,4,9,12
22,4,3,2
23,4,7,12
23,4,12,12
23,4,17,12
29,4,24,19
29,4,29,19
29,4,24,27
29,4,29,27
30,4,2,19
30,4,2,27
31,4,30,9
32,4,3,11
32,4,8,13
33,4,20,30
45,4,2,4
45,4,6,6
45,4,10,8
50,4,11,4
50,4,15,4
50,4,19,4
53,4,12,21
53,4,7,21
53,4,17,21
61,4,29,10
62,4,1,10
62,4,5,10
65,4,23,15
65,4,28,15
66,4,1,15
1,5,15,19
1,5,19,19
1,5,11,19
3,5,4,13
3,5,8,13
3,5,12,13
3,5,25,19
3,5,29,19
4,5,1,19
7,5,6,8
7,5,0,2
7,5,3,5
9,5,21,7
9,5,21,13
9,5,21,19
10,5,17,26
10,5,13,26
10,5,9,26
15,5,15,24
15,5,15,28
15,5,15,16
15,5,15,20
25,5,8,20
25,5,12,21
25,5,16,22
27,5,21,24
27,5,17,24
27,5,25,24
29,5,24,19
29,5,29,19
30,5,2,19
33,5,25,0
33,5,30,3
40,5,7,2
40,5,7,8
40,5,7,14
44,5,24,30
45,5,17,30
45,5,0,30
45,5,8,30
46,5,22,10
46,5,27,12
47,5,0,14
57,5,17,27
57,5,13,27
57,5,9,27
64,5,16,31
64,5,20,31
64,5,24,31
65,5,15,3
65,5,19,3
65,5,23,3
2,6,17,30
8,6,12,18
8,6,16,18
8,6,20,18
9,6,4,23
9,6,8,23
9,6,12,23
13,6,18,24
13,6,18,30
20,6,13,28
20,6,16,31
37,6,6,27
37,6,10,28
37,6,14,29
39,6,13,29
39,6,17,29
39,6,9,29
40,6,25,22
40,6,17,22
40,6,21,22
49,6,30,18
49,6,22,18
49,6,26,18
50,6,13,29
50,6,17,29
50,6,21,29
52,6,17,26
52,6,24,28
53,6,0,30
56,6,3,29
56,6,0,29
56,6,6,29
57,6,23,22
57,6,27,22
57,6,31,22
59,6,22,16
59,6,27,16
60,6,0,16
67,6,0,21
67,6,3,21
67,6,6,21
69,6,14,30
72,6,5,18
72,6,10,19
72,6,15,20
73,6,13,17
73,6,17,17
73,6,21,17
2,7,26,2
2,7,21,1
5,7,20,0
5,7,25,1
5,7,30,2
13,7,18,4
16,7,14,3
16,7,14,7
16,7,14,11
20,7,19,2
21,7,4,17
21,7,8,19
21,7,12,21
22,7,27,4
22,7,31,4
23,7,3,4
23,7,24,11
23,7,28,13
24,7,0,15
25,7,13,31
25,7,17,30
25,7,21,29
26,7,21,27
26,7,26,25
26,7,29,21
28,7,23,11
28,7,28,11
29,7,1,11
29,7,23,14
29,7,28,14
30,7,1,14
