Adv2,ENEMIES,35,10,,,,,
3,2,28,30,PEN,0,0,3,2
24,2,18,19,YUKIMARU_SIDEWAYS,0,0,2,4
26,2,19,14,PEN,-2,0,4,2
27,2,4,14,PEN,0,0,4,2
14,3,19,0,PEN,0,0,5,2
27,3,24,28,YUKIMARU_SIDEWAYS,0,0,2,4
4,4,31,26,PEN,0,0,5,2
18,4,5,2,PEN,0,0,5,2
14,5,22,18,PEN,0,0,7,2
19,5,0,0,YUKIMARU,0,0,5,2
25,5,20,6,PEN,0,0,4,2
26,5,5,6,PEN,-2,0,4,2
7,6,22,17,KURAA,0,0,3,2
8,6,0,17,KURAA,-1,0,3,2
9,6,0,2,YUKIMARU_SIDEWAYS,0,0,2,3
19,6,6,10,PEN,0,0,5,2
34,6,14,10,EGG_SPIDER,-78,54,0,0
4,7,23,25,DRISAME,105,7,0,0
5,7,7,25,DRISAME,89,7,0,0
10,7,4,12,KURAA,0,0,5,2
11,7,1,25,DRISAME,-97,7,0,0
12,7,28,13,KURAA,-2,0,4,2
17,7,27,19,KURAA,-2,0,4,2
