Adv2,ENEMIES,65,20,,,,,
40,1,29,16,BULLETBUZZER,-6,0,12,0
29,3,8,13,BULLETBUZZER,-6,0,12,0
47,4,15,4,MADILLO,-1,1,1,0
20,5,20,23,BULLETBUZZER,-6,0,12,0
24,5,0,8,MADILLO,-7,1,14,0
41,5,8,8,MADILLO,-17,1,17,0
35,7,8,28,MADILLO,-4,1,4,0
11,9,13,17,BULLETBUZZER,-6,0,12,0
32,9,27,18,MADILLO,0,1,17,0
18,10,12,23,STRAW,0,0,0,0
18,10,12,25,STRAW,0,0,0,0
18,10,10,24,STRAW,0,0,0,0
19,13,4,19,STRAW,0,0,0,0
19,13,6,18,STRAW,0,0,0,0
19,13,6,20,STRAW,0,0,0,0
5,14,0,21,BULLETBUZZER,-6,0,12,0
1,16,28,4,MADILLO,0,1,8,0
