Adv2,RINGS,109,18
1,0,31,28
2,0,11,28
2,0,5,28
16,0,16,19
16,0,8,27
16,0,24,27
16,0,10,21
16,0,22,21
2,1,28,22
3,1,23,8
3,1,19,6
3,1,27,10
3,1,0,26
3,1,4,30
4,1,25,20
4,1,21,19
4,1,17,18
6,1,25,9
6,1,20,7
6,1,15,5
7,1,5,21
7,1,9,23
7,1,13,25
9,1,2,27
9,1,6,27
9,1,10,27
10,1,17,18
10,1,21,17
10,1,25,16
12,1,11,21
12,1,7,18
12,1,15,24
14,1,5,16
14,1,8,16
14,1,2,16
21,1,23,26
21,1,26,29
21,1,27,23
21,1,31,25
22,1,3,27
28,1,13,23
28,1,17,23
28,1,21,23
29,1,13,30
3,2,29,23
4,2,1,27
4,2,5,31
9,2,11,7
9,2,3,5
9,2,7,6
10,2,19,10
10,2,23,10
10,2,27,10
10,2,19,22
10,2,22,25
10,2,25,28
13,2,25,3
13,2,30,4
14,2,3,5
18,2,15,12
18,2,7,16
18,2,11,14
19,2,5,4
19,2,9,3
19,2,13,2
21,2,29,0
23,2,17,25
23,2,13,24
23,2,9,23
24,2,14,17
24,2,18,18
24,2,22,19
24,2,3,29
24,2,7,30
24,2,11,31
27,2,18,10
27,2,2,10
27,2,26,10
27,2,10,10
28,2,2,10
29,2,17,0
29,2,21,2
30,2,28,17
30,2,31,18
31,2,28,27
31,2,22,29
31,2,2,19
32,2,2,29
32,2,24,5
32,2,28,5
32,2,20,5
34,2,30,20
35,2,2,22
35,2,6,24
43,2,28,27
43,2,22,29
44,2,2,29
5,3,9,1
5,3,4,1
5,3,0,1
6,3,0,3
6,3,4,3
6,3,9,3
7,3,31,10
8,3,3,8
8,3,6,4
12,3,25,7
12,3,29,7
13,3,1,7
15,3,16,11
15,3,19,11
15,3,22,11
19,3,31,3
19,3,13,31
20,3,4,19
20,3,6,13
20,3,4,7
21,3,21,30
21,3,25,30
21,3,29,30
23,3,27,28
23,3,31,28
24,3,3,28
26,3,8,31
27,3,26,29
27,3,30,29
28,3,2,29
31,3,20,3
31,3,6,7
31,3,10,10
31,3,14,11
32,3,4,2
33,3,0,31
34,3,28,19
34,3,20,27
34,3,22,21
35,3,2,21
35,3,4,27
38,3,9,17
38,3,15,20
38,3,3,14
43,3,20,3
43,3,4,7
43,3,8,9
43,3,12,11
44,3,4,3
45,3,24,19
45,3,16,27
45,3,18,21
45,3,30,21
46,3,0,27
10,4,13,27
10,4,18,27
10,4,23,27
12,4,26,28
12,4,29,31
13,4,30,26
14,4,5,20
14,4,2,24
15,4,9,6
15,4,5,4
