Adv2,RINGS,28,11
0,0,31,26
1,0,2,28
1,0,6,29
2,0,15,29
2,0,18,32
4,0,29,9
5,0,1,9
5,0,5,9
5,0,12,23
5,0,12,28
5,0,12,33
6,0,28,5
6,0,32,5
7,0,4,5
7,0,32,27
7,0,32,31
9,0,21,12
9,0,24,12
9,0,27,12
9,0,1,27
9,0,4,27
9,0,7,27
9,0,16,30
9,0,19,30
9,0,22,30
11,0,4,3
11,0,8,3
11,0,12,3
11,0,32,21
11,0,11,24
11,0,15,26
11,0,19,28
12,0,3,21
12,0,6,21
14,0,3,11
14,0,7,11
14,0,11,11
15,0,5,11
15,0,9,11
15,0,13,11
15,0,30,12
15,0,30,32
15,0,26,33
16,0,1,15
16,0,2,19
16,0,1,29
18,0,11,19
18,0,14,19
18,0,17,19
18,0,11,22
18,0,14,22
18,0,17,22
18,0,26,33
20,0,15,13
20,0,18,13
20,0,21,13
21,0,6,13
21,0,9,13
21,0,12,13
2,1,21,3
3,1,4,18
3,1,7,21
3,1,11,23
3,1,15,23
4,1,24,22
4,1,26,26
4,1,30,27
7,1,30,2
7,1,26,3
7,1,7,9
7,1,10,9
7,1,13,9
10,1,8,17
10,1,12,19
10,1,16,21
11,1,5,28
11,1,10,28
11,1,15,28
13,1,2,25
13,1,5,25
13,1,8,25
14,1,3,11
14,1,6,11
14,1,9,11
14,1,17,33
14,1,21,33
14,1,25,33
15,1,20,11
15,1,22,14
15,1,26,15
16,1,29,15
17,1,1,16
17,1,4,19
18,1,22,3
18,1,19,6
19,1,9,6
19,1,12,9
19,1,15,12
20,1,29,9
20,1,12,10
20,1,9,12
20,1,6,15
21,1,1,9
21,1,5,9
4,2,12,22
4,2,17,22
4,2,22,22
5,2,4,22
5,2,7,22
5,2,10,22
6,2,19,15
6,2,23,15
6,2,27,15
6,2,31,15
6,2,17,18
6,2,21,18
6,2,25,18
6,2,29,18
6,2,2,20
6,2,5,23
6,2,8,26
7,2,1,18
8,2,17,13
8,2,20,13
8,2,23,13
8,2,21,30
8,2,24,30
8,2,27,30
12,2,10,31
12,2,13,31
12,2,16,31
13,2,4,25
13,2,7,25
13,2,10,25
14,2,24,19
14,2,27,19
14,2,30,19
15,2,29,27
16,2,1,29
16,2,5,31
17,2,28,15
17,2,30,18
18,2,1,19
19,2,31,25
19,2,31,29
19,2,31,33
20,2,15,24
20,2,18,24
20,2,21,24
21,2,25,28
21,2,22,31
4,3,8,21
4,3,12,21
4,3,16,21
5,3,14,20
5,3,14,24
5,3,14,28
7,3,7,29
7,3,10,29
7,3,13,29
8,3,28,22
8,3,31,22
8,3,19,25
8,3,22,25
8,3,6,29
8,3,9,29
9,3,25,5
9,3,29,5
9,3,4,19
9,3,7,19
10,3,1,5
10,3,21,22
10,3,24,22
10,3,27,22
11,3,27,13
11,3,30,13
11,3,27,31
11,3,31,31
12,3,1,13
14,3,10,13
14,3,12,16
14,3,16,17
15,3,10,13
15,3,8,16
15,3,4,17
15,3,22,29
15,3,26,29
15,3,30,29
16,3,23,8
16,3,27,10
16,3,31,12
21,3,19,2
21,3,16,5
21,3,13,8
21,3,10,11
21,3,7,14
21,3,4,17
5,4,11,10
5,4,14,10
5,4,17,10
5,4,30,12
5,4,30,16
5,4,30,20
6,4,26,33
7,4,19,30
8,4,30,27
9,4,4,22
9,4,2,26
11,4,4,18
11,4,8,20
12,4,21,3
12,4,25,3
12,4,29,3
12,4,2,23
12,4,6,23
12,4,10,23
12,4,14,23
12,4,18,23
13,4,16,21
13,4,19,21
13,4,22,21
19,4,21,23
19,4,24,23
20,4,14,32
20,4,18,32
20,4,22,32
21,4,22,23
21,4,25,23
21,4,28,23
22,4,6,11
22,4,10,11
22,4,14,11
22,4,23,23
22,4,26,23
22,4,29,23
4,5,14,7
4,5,19,7
4,5,23,10
5,5,10,13
5,5,13,13
5,5,16,13
6,5,26,5
6,5,26,9
7,5,19,2
7,5,19,6
7,5,31,31
8,5,2,31
8,5,5,31
10,5,11,22
10,5,15,24
10,5,19,26
11,5,10,10
11,5,13,10
12,5,10,11
12,5,13,11
12,5,16,11
12,5,31,22
13,5,3,24
13,5,7,26
14,5,25,17
14,5,28,17
14,5,31,17
15,5,10,6
15,5,13,6
15,5,16,6
15,5,16,33
16,5,31,11
16,5,10,17
16,5,10,20
16,5,10,23
17,5,7,7
17,5,3,9
18,5,10,16
18,5,10,19
18,5,10,22
20,5,13,13
20,5,17,13
20,5,21,13
21,5,16,8
21,5,14,12
21,5,10,13
22,5,18,26
22,5,18,30
23,5,15,29
23,5,19,30
23,5,22,32
8,6,22,7
8,6,22,11
8,6,22,15
9,6,12,29
9,6,15,29
9,6,18,29
11,6,13,22
11,6,16,22
11,6,19,22
12,6,3,16
12,6,6,16
12,6,9,16
12,6,27,16
12,6,30,16
13,6,1,16
15,6,14,4
15,6,11,5
16,6,26,15
16,6,30,15
16,6,11,20
16,6,15,22
16,6,19,24
19,6,6,10
19,6,9,10
19,6,12,10
20,6,25,30
20,6,28,30
20,6,31,30
22,6,18,2
22,6,11,26
22,6,8,28
22,6,4,29
10,7,6,8
10,7,6,12
10,7,6,16
12,7,12,21
12,7,15,21
12,7,18,21
13,7,18,11
13,7,18,15
13,7,18,19
22,7,8,30
22,7,11,33
10,8,6,9
10,8,6,13
10,8,6,17
14,8,9,12
14,8,12,12
14,8,15,12
19,8,19,7
19,8,23,10
19,8,27,13
20,8,32,11
21,8,8,9
21,8,4,11
