Adv2,ENEMIES,28,11,,,,,
5,0,20,9,SLOT,-4,0,11,2
9,0,10,6,SLOT,-4,0,10,2
11,0,2,22,HANABII,-4,0,9,2
16,1,28,3,SLOT,-2,0,7,2
17,1,18,2,HANABII,-3,0,9,2
18,1,8,2,SLOT,-3,0,7,2
12,2,30,24,PIERROT,-4,0,13,2
8,3,0,22,SLOT,-3,0,8,2
18,3,4,5,SLOT,-5,0,12,2
18,3,29,5,SLOT,-5,0,12,2
13,4,17,27,PIERROT,-5,0,14,2
20,4,1,8,HANABII,-3,0,9,2
10,5,1,18,PIERROT,-2,0,9,2
18,5,26,6,PIERROT,-6,0,11,2
12,6,10,13,SLOT,-5,0,10,2
13,6,28,28,HANABII,-9,0,17,2
19,6,23,10,PIERROT,-5,0,9,2
21,6,28,23,SLOT,-5,0,11,2
22,6,22,4,SLOT,-2,0,7,2
