Adv2,ENEMIES,96,24,,,,,
18,0,0,20,KUBINAGA,1,0,0,0
11,1,11,27,GOHLA,-5,1,13,2
17,1,5,4,KOURA,0,2,2,6
8,2,17,22,GOHLA,-8,1,17,3
21,3,21,12,KUBINAGA,0,0,0,0
22,3,3,2,KURAKURA,0,0,0,0
20,4,4,2,KURAKURA,0,0,0,0
25,5,28,0,KURAKURA,0,0,0,0
25,5,4,23,KURAKURA,0,0,0,0
29,5,25,29,GOHLA,-3,-1,8,3
21,6,30,10,KOURA,-5,1,12,2
25,6,16,20,KUBINAGA,1,0,0,0
15,7,5,4,KUBINAGA,0,0,0,0
21,8,22,0,GOHLA,-6,-2,15,4
34,8,24,3,KOURA,0,2,2,7
37,10,7,5,GOHLA,-4,1,10,3
38,10,0,22,KOURA,-7,1,16,2
44,10,2,25,KURAKURA,0,0,0,0
36,11,24,15,KUBINAGA,1,0,0,0
44,11,28,13,KURAKURA,0,0,0,0
48,11,6,18,KOURA,-5,1,14,3
52,11,28,1,KUBINAGA,1,1,0,0
40,12,9,31,KURAKURA,0,0,0,0
49,12,21,27,GOHLA,-5,1,14,2
51,12,11,28,GOHLA,-5,1,13,2
39,13,30,7,KURAKURA,0,0,0,0
59,13,6,27,KURAKURA,0,0,0,0
59,13,6,11,KURAKURA,0,0,0,0
48,14,27,23,KOURA,-9,2,21,2
50,15,26,9,KUBINAGA,1,0,0,0
56,16,20,31,KUBINAGA,1,0,0,0
62,18,28,26,KURAKURA,0,0,0,0
63,18,7,21,KURAKURA,0,0,0,0
66,19,12,23,GOHLA,-5,1,12,2
68,19,8,4,KUBINAGA,1,1,0,0
72,19,0,26,GOHLA,-4,1,12,2
71,20,14,4,KURAKURA,0,0,0,0
