Adv2,RINGS,96,24
17,0,10,16
17,0,13,16
17,0,16,16
17,0,10,19
17,0,13,19
17,0,16,19
17,0,19,16
17,0,19,19
2,1,8,15
2,1,16,17
2,1,12,16
3,1,25,27
3,1,29,28
3,1,2,18
3,1,5,18
3,1,8,18
4,1,1,29
5,1,9,30
5,1,12,30
5,1,6,30
7,1,10,29
7,1,16,31
11,1,12,24
11,1,15,24
11,1,18,24
14,1,12,22
14,1,15,19
14,1,12,19
14,1,15,22
14,1,9,22
14,1,9,19
6,2,31,13
6,2,1,7
6,2,4,7
6,2,7,7
7,2,22,1
7,2,2,16
7,2,5,19
7,2,29,25
7,2,26,25
7,2,23,25
8,2,5,6
8,2,11,8
8,2,16,10
8,2,30,31
9,2,1,31
9,2,4,31
11,2,7,29
11,2,11,31
14,2,29,16
15,2,2,18
15,2,7,20
16,2,20,9
16,2,20,13
16,2,20,17
10,3,17,25
10,3,22,28
10,3,14,6
10,3,14,9
10,3,14,12
11,3,15,1
11,3,29,8
11,3,25,6
12,3,1,10
12,3,24,31
14,3,15,11
14,3,18,11
14,3,21,11
15,3,21,16
15,3,13,16
15,3,17,16
15,3,6,2
15,3,10,4
15,3,14,6
15,3,19,29
15,3,30,13
15,3,25,11
16,3,4,15
16,3,11,26
16,3,15,28
16,3,19,30
18,3,16,5
18,3,19,5
18,3,22,5
19,3,21,29
19,3,24,29
19,3,27,29
22,3,11,12
22,3,15,15
22,3,18,19
10,4,26,0
12,4,16,6
12,4,18,1
12,4,30,1
13,4,0,6
14,4,5,10
14,4,5,13
14,4,5,16
15,4,22,0
15,4,25,3
16,4,9,19
16,4,12,22
16,4,15,25
18,4,28,22
18,4,31,22
19,4,2,22
21,4,12,23
21,4,4,30
21,4,20,30
21,4,6,25
21,4,18,25
23,4,8,9
23,4,13,11
23,4,18,14
26,4,4,26
26,4,7,26
26,4,10,26
26,4,4,28
26,4,7,28
26,4,10,28
26,4,24,30
26,4,26,25
27,4,0,23
27,4,8,30
27,4,6,25
18,5,8,9
18,5,12,12
18,5,15,16
19,5,28,27
19,5,22,29
20,5,2,29
20,5,20,20
20,5,23,22
20,5,26,24
21,5,30,29
22,5,0,13
22,5,3,13
22,5,6,13
22,5,1,29
22,5,4,29
23,5,8,15
23,5,0,22
23,5,16,22
23,5,2,17
23,5,14,17
26,5,2,25
26,5,6,25
26,5,10,25
29,5,19,11
29,5,22,11
29,5,25,11
14,6,18,20
14,6,21,20
14,6,18,22
14,6,21,22
14,6,18,18
14,6,21,18
16,6,23,13
16,6,19,15
16,6,15,17
17,6,13,2
17,6,9,4
17,6,5,6
19,6,20,2
20,6,4,2
21,6,9,26
21,6,15,29
21,6,30,0
22,6,1,0
22,6,4,0
23,6,7,23
23,6,14,24
23,6,21,26
25,6,2,23
25,6,2,26
25,6,2,20
26,6,24,24
26,6,25,28
26,6,29,29
30,6,11,3
30,6,14,6
30,6,17,9
30,6,31,23
31,6,3,27
31,6,7,30
14,7,10,12
14,7,10,15
14,7,10,18
15,7,5,28
18,7,28,30
18,7,30,25
19,7,4,23
19,7,12,30
19,7,10,25
20,7,23,8
20,7,24,4
20,7,19,9
21,7,21,0
21,7,20,22
21,7,23,22
21,7,26,22
21,7,20,24
21,7,23,24
21,7,26,24
22,7,29,15
23,7,1,15
23,7,5,15
23,7,24,15
23,7,28,15
24,7,0,15
26,7,16,31
28,7,0,27
28,7,3,27
28,7,6,27
29,7,24,18
29,7,26,13
30,7,0,11
30,7,8,18
30,7,6,13
15,8,7,0
15,8,10,4
17,8,9,13
17,8,13,13
17,8,17,13
20,8,12,28
24,8,3,10
24,8,8,14
24,8,12,18
25,8,16,3
25,8,8,10
25,8,24,10
25,8,10,5
25,8,22,5
26,8,18,19
26,8,21,19
26,8,24,19
26,8,20,1
26,8,24,3
28,8,18,27
29,8,24,13
29,8,24,16
29,8,24,19
19,9,7,0
19,9,11,2
19,9,15,4
20,9,12,0
20,9,12,4
28,9,25,6
28,9,22,1
30,9,18,1
30,9,24,3
30,9,30,5
30,9,24,19
30,9,16,26
30,9,18,21
30,9,30,21
31,9,0,26
34,9,23,10
34,9,19,10
34,9,25,12
34,9,17,12
34,9,21,12
35,9,7,27
35,9,10,30
35,10,13,1
35,10,26,14
35,10,29,17
36,10,0,20
36,10,16,13
36,10,16,17
36,10,16,21
38,10,26,1
38,10,30,1
39,10,2,1
39,10,17,5
39,10,23,7
39,10,29,9
40,10,18,16
40,10,25,18
41,10,0,20
43,10,5,7
43,10,8,7
43,10,11,7
44,10,13,20
44,10,16,19
44,10,19,18
45,10,27,27
45,10,31,27
46,10,3,27
48,10,21,27
48,10,24,27
48,10,18,27
48,10,18,24
48,10,21,24
48,10,24,24
53,10,5,19
53,10,8,19
53,10,11,19
53,10,5,21
53,10,8,21
53,10,11,21
32,11,19,5
32,11,23,8
32,11,27,10
34,11,24,19
34,11,27,19
34,11,30,19
38,11,0,24
38,11,3,24
38,11,6,24
38,11,0,26
38,11,3,26
38,11,6,26
40,11,21,7
40,11,24,7
40,11,27,7
44,11,5,15
44,11,8,18
44,11,12,20
44,11,7,5
44,11,10,5
44,11,4,5
44,11,30,31
44,11,4,8
44,11,7,8
44,11,10,8
45,11,16,16
45,11,19,16
45,11,22,16
45,11,1,31
45,11,4,31
47,11,6,2
47,11,10,3
47,11,14,4
52,11,3,16
52,11,6,16
52,11,9,16
53,11,30,10
54,11,2,14
54,11,6,18
54,11,25,31
38,12,10,14
38,12,10,17
38,12,10,20
45,12,27,6
45,12,30,7
46,12,1,8
46,12,5,29
46,12,9,30
46,12,13,31
47,12,8,19
47,12,0,26
47,12,16,26
47,12,2,21
47,12,14,21
48,12,20,3
48,12,24,3
48,12,18,5
48,12,22,5
53,12,20,19
53,12,12,26
53,12,28,26
53,12,14,21
53,12,26,21
54,12,30,2
55,12,3,5
55,12,30,16
56,12,5,18
56,12,12,20
39,13,9,6
39,13,9,9
39,13,9,12
39,13,9,15
40,13,6,28
40,13,6,31
40,13,6,25
41,13,20,11
41,13,12,18
41,13,28,18
41,13,14,13
41,13,26,13
54,13,5,11
54,13,9,13
54,13,13,15
55,13,16,11
55,13,8,18
55,13,24,18
55,13,10,13
55,13,22,13
59,13,18,14
59,13,18,17
59,13,18,20
59,13,18,23
47,14,0,23
47,14,2,28
47,14,7,31
48,14,16,20
48,14,16,24
48,14,16,28
48,14,28,8
49,14,2,10
49,14,8,12
49,14,26,18
49,14,31,20
50,14,4,22
50,14,31,19
50,14,31,16
51,14,2,19
51,14,5,19
51,14,2,16
51,14,5,16
58,14,17,12
58,14,21,9
58,14,26,7
52,15,16,7
52,15,8,14
52,15,24,14
52,15,10,9
52,15,22,9
59,15,0,3
59,15,4,3
59,15,8,3
59,15,16,14
59,15,14,20
59,15,9,23
52,16,19,22
52,16,25,24
52,16,31,26
53,16,29,28
53,16,26,31
54,16,1,27
57,16,30,6
57,16,26,8
57,16,22,10
55,17,29,7
56,17,1,7
56,17,5,7
56,17,26,22
56,17,28,26
56,17,31,30
58,17,28,3
58,17,20,10
58,17,22,5
58,17,20,16
59,17,4,10
59,17,2,5
59,17,4,16
60,17,30,29
61,17,4,27
61,17,10,29
72,17,12,27
72,17,6,29
72,17,18,29
59,18,20,7
59,18,12,14
59,18,28,14
59,18,14,9
59,18,26,9
60,18,28,2
61,18,12,2
61,18,28,23
62,18,0,25
62,18,4,27
63,18,24,31
64,18,29,24
65,18,0,24
65,18,3,24
65,18,0,27
65,18,3,27
65,18,6,27
72,18,4,2
73,18,12,11
73,18,15,11
73,18,9,11
63,19,16,6
63,19,18,1
63,19,30,1
64,19,0,6
64,19,28,25
65,19,1,21
65,19,5,17
66,19,28,0
66,19,31,3
66,19,29,27
67,19,2,6
67,19,10,14
67,19,13,17
67,19,16,20
67,19,1,27
67,19,5,27
69,19,29,17
70,19,4,19
70,19,11,21
71,19,19,22
71,19,22,22
71,19,16,22
73,19,12,31
75,19,31,8
76,19,2,6
76,19,5,4
76,19,5,29
76,19,2,31
69,20,16,22
69,20,20,26
69,20,24,30
70,20,12,15
70,20,11,19
70,20,16,14
71,20,1,14
71,20,4,14
71,20,7,14
73,20,16,1
73,20,20,3
75,20,31,1
75,20,12,15
75,20,4,22
75,20,20,22
75,20,6,17
75,20,18,17
78,20,2,19
78,20,5,19
78,20,8,19
78,20,24,24
78,20,27,27
78,20,30,30
81,21,8,24
81,21,12,28
81,22,16,0
82,22,4,20
82,22,8,24
82,22,12,28
