Adv2,ENEMIES,17,32,,,,,
7,1,6,25,MOLE,26,-57,0,0
6,2,7,11,MIRROR,0,0,4,2
10,2,14,25,OCT,-5,0,13,2
8,3,11,27,OCT,0,0,6,2
11,3,9,14,OCT,0,0,6,2
6,4,26,3,OCT,0,0,4,2
7,4,9,7,MOLE,23,121,0,0
9,6,9,26,OCT,0,0,5,2
10,6,3,21,MOLE,-67,43,0,0
4,11,9,15,MIRROR,-3,0,5,2
4,11,9,25,MIRROR,0,0,4,2
6,13,1,18,MIRROR,0,0,4,2
6,13,0,28,MIRROR,-2,0,4,2
7,15,7,9,MOLE,25,23,0,0
9,15,27,5,OCT,0,0,5,2
12,16,13,22,MIRROR,0,0,8,2
8,17,11,5,MOLE,-11,-37,0,0
8,17,23,5,MOLE,-23,-37,0,0
13,18,20,26,MIRROR,0,0,6,2
11,19,20,4,OCT,0,0,6,2
15,19,2,9,MOLE,30,-105,0,0
5,20,24,5,MOLE,72,123,0,0
8,20,5,5,MOLE,-5,123,0,0
11,20,7,25,OCT,0,0,4,2
7,21,0,3,MOLE,32,93,0,0
10,23,5,31,OCT,-4,0,11,2
5,24,0,22,OCT,0,0,5,2
7,24,3,0,OCT,0,0,5,2
8,24,29,27,MOLE,-29,-27,0,0
13,25,9,15,OCT,-5,0,13,2
3,26,16,31,OCT,-3,0,9,2
8,26,5,5,MOLE,-5,-69,0,0
9,26,17,14,MIRROR,0,0,5,2
4,27,31,3,OCT,-2,0,6,2
11,27,30,6,MIRROR,-3,0,5,2
5,29,15,5,MOLE,81,91,0,0
5,29,3,13,MIRROR,-2,0,6,2
11,29,13,17,MOLE,-109,79,0,0
