Adv2,INTERACTABLES,15,4,,,,,
7,1,9,21,CHECKPOINT,1,-53,0,0
3,2,0,26,PLATFORM_THIN,-96,-90,0,0
3,2,24,26,PLATFORM_THIN,-120,-90,0,0
4,2,31,25,SMALL_FALL_BLOCK,97,-89,0,0
5,2,1,25,SMALL_FALL_BLOCK,95,-89,0,0
5,2,3,25,SMALL_FALL_BLOCK,93,-89,0,0
7,2,14,21,SPRING__UP,2,-85,0,0
1,3,17,2,SMALL_FALL_BLOCK,-49,-98,0,0
1,3,19,2,SMALL_FALL_BLOCK,-51,-98,0,0
1,3,21,2,SMALL_FALL_BLOCK,-53,-98,0,0
1,3,23,2,SMALL_FALL_BLOCK,-55,-98,0,0
1,3,25,2,SMALL_FALL_BLOCK,-57,-98,0,0
1,3,27,2,SMALL_FALL_BLOCK,-59,-98,0,0
1,3,29,2,SMALL_FALL_BLOCK,-61,-98,0,0
1,3,31,2,SMALL_FALL_BLOCK,-63,-98,0,0
2,3,1,2,SMALL_FALL_BLOCK,-65,-98,0,0
2,3,3,2,SMALL_FALL_BLOCK,-67,-98,0,0
2,3,5,2,SMALL_FALL_BLOCK,-69,-98,0,0
2,3,7,2,SMALL_FALL_BLOCK,-71,-98,0,0
4,3,17,2,SMALL_FALL_BLOCK,111,-98,0,0
4,3,19,2,SMALL_FALL_BLOCK,109,-98,0,0
4,3,21,2,SMALL_FALL_BLOCK,107,-98,0,0
4,3,23,2,SMALL_FALL_BLOCK,105,-98,0,0
4,3,25,2,SMALL_FALL_BLOCK,103,-98,0,0
4,3,27,2,SMALL_FALL_BLOCK,101,-98,0,0
4,3,29,2,SMALL_FALL_BLOCK,99,-98,0,0
4,3,31,2,SMALL_FALL_BLOCK,97,-98,0,0
5,3,1,2,SMALL_FALL_BLOCK,95,-98,0,0
5,3,3,2,SMALL_FALL_BLOCK,93,-98,0,0
5,3,5,2,SMALL_FALL_BLOCK,91,-98,0,0
5,3,7,2,SMALL_FALL_BLOCK,89,-98,0,0
