Adv2,ENEMIES,132,19,,,,,
9,1,12,28,GEJIGEJI,0,0,2,12
17,2,27,6,BUZZER,-4,0,14,2
10,3,17,27,BUZZER,-7,0,18,2
29,3,2,23,SPINNER,0,0,0,0
9,4,15,10,GEJIGEJI,0,0,3,18
25,4,21,12,SPINNER,0,0,0,0
28,4,27,25,SPINNER,0,0,0,0
21,5,16,6,SPINNER,0,0,0,0
59,5,1,0,MOUSE,-5,1,18,0
12,6,2,16,MOUSE,-11,1,26,0
12,6,28,30,MOUSE,-11,1,22,0
26,6,21,13,SPINNER,0,0,0,0
27,6,3,12,SPINNER,0,0,0,0
27,6,15,11,SPINNER,0,0,0,0
50,6,4,27,BUZZER,-9,0,21,2
56,6,3,10,MOUSE,-7,1,20,0
53,7,17,16,GEJIGEJI,0,0,2,13
56,7,23,8,GEJIGEJI,0,-10,2,12
64,7,14,7,SPINNER,0,0,0,0
67,7,9,23,BUZZER,-8,0,15,2
50,8,16,13,SPINNER,0,0,0,0
64,8,9,6,MOUSE,-7,1,14,0
42,9,20,23,SPINNER,0,0,0,0
43,9,11,16,BUZZER,-6,0,15,3
55,9,10,19,GEJIGEJI,0,0,18,3
56,9,9,2,SPINNER,0,0,0,0
67,9,25,0,SPINNER,0,0,0,0
71,9,26,24,SPINNER,0,0,0,0
95,9,16,24,GEJIGEJI,0,0,2,12
56,10,27,16,MOUSE,-7,1,22,1
57,10,24,26,MOUSE,-12,1,21,0
68,10,27,24,SPINNER,0,0,0,0
92,10,1,16,MOUSE,-8,1,23,1
44,11,1,4,BUZZER,-10,0,17,2
66,11,23,22,SPINNER,0,0,0,0
70,11,9,16,MOUSE,-8,1,32,0
92,11,11,20,GEJIGEJI,0,0,2,12
47,12,26,9,SPINNER,0,0,0,0
54,12,31,4,MOUSE,-4,1,26,0
65,12,26,18,BUZZER,-7,0,18,2
78,12,9,10,SPINNER,0,0,0,0
101,12,25,16,MOUSE,-10,1,26,0
102,12,26,16,MOUSE,-13,1,25,0
106,12,28,10,SPINNER,0,0,0,0
110,12,0,8,SPINNER,0,0,0,0
67,13,26,28,SPINNER,0,0,0,0
71,13,5,6,SPINNER,0,0,0,0
109,13,16,1,GEJIGEJI,0,0,18,2
68,14,7,6,MOUSE,-11,1,25,0
89,14,13,18,MOUSE,-15,1,31,0
90,14,9,18,MOUSE,-10,1,29,0
91,14,26,18,MOUSE,-13,1,32,0
99,14,10,12,MOUSE,-6,1,16,0
107,14,1,30,SPINNER,0,0,0,0
111,14,24,20,GEJIGEJI,0,0,2,12
111,14,12,6,MOUSE,-7,1,22,0
97,15,10,0,GEJIGEJI,0,0,3,12
110,17,11,18,MOUSE,-8,1,24,0
110,17,18,9,BUZZER,-6,0,14,2
