Adv2,INTERACTABLES,35,11,,,,,
9,0,22,11,SPRING__DOWN,0,-11,0,0
18,0,31,0,TOGGLE_PLAYER_LAYER__BACK,0,0,2,16
18,0,31,16,TOGGLE_PLAYER_LAYER__BACK,0,0,2,16
19,0,1,0,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,16
19,0,16,0,TOGGLE_PLAYER_LAYER__BACK,0,0,3,16
19,0,1,16,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,16
19,0,16,16,TOGGLE_PLAYER_LAYER__BACK,0,0,3,16
21,0,0,0,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,16
21,0,3,0,TOGGLE_PLAYER_LAYER__BACK,0,0,2,16
21,0,0,16,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,16
21,0,3,16,TOGGLE_PLAYER_LAYER__BACK,0,0,2,16
3,1,22,15,MOVING_SPRING,0,0,2,6
4,1,4,5,SPRING__BIG_UPLEFT,0,-37,0,0
7,1,14,17,SPRING__UP,0,-49,0,0
9,1,0,8,SPRING__BIG_UPRIGHT,-32,-40,0,0
18,1,31,0,TOGGLE_PLAYER_LAYER__BACK,0,0,2,16
19,1,1,0,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,16
19,1,16,0,TOGGLE_PLAYER_LAYER__BACK,0,0,3,3
20,1,24,14,INCLINE_RAMP,1,0,5,5
20,1,20,20,TOGGLE_PLAYER_LAYER__FRONT,0,0,12,3
21,1,0,0,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,16
21,1,3,0,TOGGLE_PLAYER_LAYER__BACK,0,0,2,16
21,1,0,16,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,16
21,1,3,16,TOGGLE_PLAYER_LAYER__BACK,0,0,2,16
23,1,4,8,GRIND_RAIL__START,0,0,3,2
23,1,22,14,RUN_WHEEL,0,-46,55,0
4,2,8,5,MOVING_SPRING,0,0,7,2
5,2,15,11,TOGGLE_PLAYER_LAYER__BACK,0,0,5,2
5,2,31,12,TOGGLE_PLAYER_LAYER__BACK,0,0,3,3
5,2,15,13,TOGGLE_PLAYER_LAYER__BACK,0,0,2,22
5,2,17,13,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,22
5,2,13,19,PLATFORM_THIN,0,0,2,6
6,2,12,9,SPRING__BIG_UPRIGHT,0,-73,0,0
6,2,2,12,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,3
7,2,2,21,SPRING__UP,0,-85,0,0
8,2,17,24,SKATING_STONE,1,1,0,0
16,2,4,0,SPRING__BIG_UPRIGHT,0,-64,0,0
16,2,17,4,MOVING_SPRING,0,0,5,2
17,2,4,9,DECORATION,-36,-73,0,0
19,2,0,1,BREAKABLE_WALL,0,-65,0,0
19,2,7,8,BOOSTER,-103,0,0,0
21,2,0,0,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,16
21,2,3,0,TOGGLE_PLAYER_LAYER__BACK,0,0,2,16
21,2,30,13,SPRING__LEFT,1,-77,0,0
24,2,25,26,GRIND_RAIL__END,0,0,9,4
25,2,21,12,PLATFORM_THIN__FALLING,-53,-76,0,0
10,3,18,10,RUN_WHEEL,0,-106,55,0
10,3,27,27,MOVING_SPRING,-6,0,8,2
11,3,16,5,BOULDER_SPAWNER,1,-101,0,0
12,3,13,19,TORCH,115,-115,0,0
12,3,22,19,TORCH,106,-115,0,0
12,3,20,29,BOULDER_SPAWNER,1,-125,0,0
15,3,20,4,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,3
15,3,23,4,TOGGLE_PLAYER_LAYER__BACK,0,0,3,3
15,3,10,14,MOVING_SPRING,0,0,2,4
15,3,6,29,MOVING_SPRING,0,-2,2,4
16,3,4,3,TOGGLE_PLAYER_LAYER__BACK,0,0,5,2
16,3,4,5,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,21
16,3,7,5,TOGGLE_PLAYER_LAYER__BACK,0,0,2,21
17,3,8,17,WATERFALL,-5,-7,12,16
17,3,20,17,WATERFALL,-5,-7,12,16
1,4,22,31,BOWL,-54,97,0,0
3,4,18,4,SPIKES__HIDING_UP,-114,124,0,0
5,4,9,26,IRON_BALL,0,0,7,2
5,4,29,26,IRON_BALL,-5,0,7,2
6,4,3,14,INCLINE_RAMP,0,0,5,5
8,4,30,29,SPRING__UP,0,99,0,0
10,4,11,16,TOGGLE_PLAYER_LAYER__BACK,0,0,5,2
10,4,27,17,TOGGLE_PLAYER_LAYER__BACK,0,0,3,3
10,4,30,17,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,3
10,4,11,18,TOGGLE_PLAYER_LAYER__BACK,0,0,2,22
10,4,13,18,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,22
11,4,6,14,SPRING__UP,0,114,0,0
12,4,0,25,TOGGLE__PLAYER_FLOAT,0,0,12,16
17,4,8,1,WATERFALL,-5,-7,12,16
17,4,20,1,WATERFALL,-5,-7,12,16
17,4,8,17,WATERFALL,-5,-7,12,16
17,4,20,17,WATERFALL,-5,-7,12,16
20,4,15,26,PLATFORM_SQUARE,0,1,6,2
2,5,27,21,TOGGLE_PLAYER_LAYER__BACK,0,0,5,2
2,5,27,23,TOGGLE_PLAYER_LAYER__BACK,0,0,2,11
2,5,29,23,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,11
3,5,11,12,TOGGLE_PLAYER_LAYER__BACK,-1,0,3,3
3,5,14,12,TOGGLE_PLAYER_LAYER__FRONT,-1,0,3,3
