Adv2,RINGS,41,12
0,0,24,23
0,0,27,23
0,0,30,23
1,0,10,18
1,0,13,18
1,0,16,18
2,0,1,7
2,0,4,7
2,0,7,7
3,0,3,13
3,0,5,15
3,0,7,17
3,0,21,31
3,0,23,33
4,0,18,20
4,0,22,20
4,0,26,20
4,0,30,20
4,0,20,23
4,0,24,23
4,0,28,23
4,0,10,32
4,0,13,32
4,0,16,32
3,1,25,3
12,1,5,13
12,1,8,13
12,1,11,13
13,1,6,31
17,1,4,25
17,1,8,25
17,1,12,25
21,1,7,31
21,1,11,31
21,1,15,31
31,1,26,15
31,1,30,17
32,1,2,19
32,1,6,21
32,1,22,29
32,1,26,31
32,1,30,33
4,2,32,22
5,2,3,25
5,2,6,28
13,2,6,3
13,2,6,7
13,2,17,19
13,2,19,23
13,2,23,25
14,2,14,11
14,2,18,11
14,2,22,11
15,2,31,11
15,2,28,14
15,2,25,17
15,2,22,20
18,2,3,3
18,2,6,3
18,2,9,3
19,2,32,11
19,2,15,25
19,2,13,29
19,2,9,31
20,2,3,11
20,2,6,11
20,2,31,27
21,2,9,2
21,2,13,2
21,2,2,27
21,2,5,27
22,2,4,2
22,2,7,2
22,2,10,2
29,2,27,26
29,2,30,29
30,2,22,10
30,2,22,14
30,2,22,18
30,2,1,32
33,2,2,3
33,2,2,32
34,2,1,17
34,2,1,21
34,2,1,25
35,2,8,28
35,2,2,30
35,2,14,30
6,3,9,31
8,3,22,17
8,3,25,17
8,3,28,17
8,3,8,32
9,3,24,32
9,3,27,32
9,3,30,32
11,3,6,32
11,3,9,32
11,3,12,32
13,3,29,8
13,3,32,8
13,3,15,17
13,3,13,21
13,3,9,23
14,3,3,8
15,3,15,24
15,3,19,26
15,3,23,28
16,3,25,18
16,3,21,20
16,3,17,22
17,3,25,6
17,3,28,6
17,3,31,6
28,3,11,12
28,3,13,16
28,3,17,18
30,3,23,5
30,3,21,9
30,3,17,11
33,3,6,2
33,3,10,4
34,3,32,4
35,3,16,4
35,3,1,30
6,4,12,2
6,4,15,5
7,4,32,8
8,4,2,2
8,4,14,2
8,4,16,8
9,4,12,12
9,4,6,14
9,4,18,14
9,4,4,20
9,4,20,20
10,4,15,22
10,4,13,25
10,4,10,27
12,4,5,17
12,4,9,19
12,4,13,21
13,4,18,24
13,4,21,24
13,4,24,24
16,4,1,10
16,4,1,14
16,4,1,18
18,4,12,12
18,4,6,14
18,4,6,14
18,4,18,14
18,4,4,20
18,4,20,20
20,4,23,3
20,4,27,3
20,4,31,3
22,4,3,8
22,4,7,10
22,4,11,12
23,4,31,9
23,4,29,13
23,4,25,15
24,4,32,9
25,4,4,11
25,4,8,13
25,4,12,15
27,4,32,13
27,4,30,18
27,4,32,23
28,4,27,4
28,4,24,7
28,4,21,10
32,4,13,27
32,4,13,30
32,4,13,33
33,4,10,21
33,4,8,25
33,4,4,27
35,4,3,2
35,4,7,4
35,4,6,27
35,4,9,27
35,4,12,27
36,4,4,10
36,4,8,12
36,4,12,14
13,5,29,18
14,5,5,14
14,5,1,16
15,5,32,3
15,5,28,5
15,5,24,7
15,5,21,29
15,5,24,29
15,5,27,29
17,5,32,23
18,5,3,23
18,5,6,23
19,5,13,28
19,5,16,31
20,5,29,27
20,5,32,27
21,5,21,24
21,5,24,24
21,5,27,24
21,5,3,27
23,5,15,26
23,5,18,26
23,5,21,26
24,5,5,26
24,5,8,26
24,5,11,26
25,5,19,29
25,5,15,31
25,5,11,33
28,5,19,9
28,5,22,12
28,5,25,15
34,5,4,22
34,5,7,22
34,5,10,22
35,5,14,14
35,5,16,18
35,5,20,20
36,5,12,4
36,5,6,6
36,5,18,6
36,5,4,12
36,5,20,12
37,5,26,32
14,6,1,12
14,6,4,15
14,6,7,18
14,6,21,19
14,6,25,19
14,6,29,19
16,6,16,5
16,6,19,5
16,6,22,5
19,6,19,2
19,6,22,5
21,6,16,18
21,6,20,20
21,6,24,22
24,6,9,33
28,6,6,12
28,6,9,12
28,6,12,12
29,6,31,3
29,6,31,7
29,6,31,11
29,6,10,23
29,6,13,23
29,6,16,23
32,6,16,15
32,6,16,19
32,6,16,23
34,6,11,29
34,6,14,29
34,6,17,29
37,6,26,4
37,6,26,8
16,7,11,16
16,7,7,18
16,7,3,20
17,7,8,26
17,7,11,29
17,7,14,32
18,7,28,13
18,7,31,13
18,7,10,21
18,7,10,25
18,7,10,29
19,7,2,13
19,7,31,16
20,7,2,16
20,7,5,16
24,7,13,3
24,7,17,5
25,7,25,10
25,7,21,12
25,7,17,14
26,7,30,2
27,7,1,2
27,7,4,2
27,7,22,12
27,7,25,12
27,7,28,12
29,7,10,23
29,7,10,27
29,7,10,31
35,7,32,12
36,7,3,12
36,7,6,12
37,7,11,3
37,7,14,3
37,7,17,3
37,7,26,12
37,7,26,16
37,7,26,20
19,8,12,14
19,8,15,17
19,8,18,20
19,8,21,23
23,8,26,16
23,8,29,16
23,8,32,16
24,8,15,25
24,8,18,25
24,8,21,25
26,8,18,25
26,8,16,29
26,8,12,31
27,8,2,25
27,8,4,29
27,8,8,31
28,8,15,22
28,8,12,25
28,8,9,28
29,8,10,26
29,8,12,30
29,8,16,32
21,9,31,6
21,9,28,9
22,9,2,3
22,9,32,3
23,9,3,6
23,9,6,9
